16,19,24,29,41,43,32
01,03,07,15,25,33,21
03,10,13,28,44,48,01
05,15,18,39,40,44,37
06,11,16,17,27,42,35
04,09,14,23,44,46,41
10,15,17,20,43,46,37
11,13,17,35,39,46,02
16,35,38,44,45,48,27
15,21,23,26,43,48,34
04,05,26,30,38,41,28
04,11,21,25,35,37,43
08,12,13,16,27,32,24
09,24,25,31,37,45,12
18,19,22,32,44,47,09
03,13,29,30,34,48,28
06,10,11,22,32,45,04
04,06,18,29,35,48,20
01,03,16,20,21,26,22
11,23,29,33,34,40,06
11,20,23,30,39,44,49
10,14,19,20,43,45,22
03,09,17,21,41,46,27
07,14,17,22,23,34,12
05,07,12,17,22,29,04
03,27,30,35,39,41,32
09,16,30,34,36,49,31
06,14,30,42,47,48,18
01,03,04,18,25,47,13
07,11,16,20,30,33,06
07,11,22,37,40,41,20
01,17,18,34,46,47,25
08,12,16,29,37,39,40
14,23,26,32,38,43,03
02,07,13,30,36,45,43
11,14,19,39,45,49,23
09,13,17,28,45,47,03
12,21,39,41,46,47,14
12,19,23,33,46,48,29
06,12,21,25,34,43,28
08,14,27,31,36,40,03
01,07,17,40,41,43,33
01,26,37,39,42,48,41
03,04,08,22,36,38,07
03,10,22,31,35,38,37
02,03,20,23,34,42,40
05,10,25,30,40,43,26
06,08,13,21,33,39,45
02,09,13,16,24,39,41
01,02,05,32,45,46,43
03,10,27,33,41,44,07
05,08,23,31,39,44,19
04,13,15,22,23,48,03
12,13,16,33,35,37,18
07,10,17,20,21,31,49
02,27,34,35,36,49,26
14,17,27,28,39,41,18
07,08,25,39,45,46,38
08,20,24,34,41,43,32
06,09,15,17,40,47,24
09,10,13,19,23,35,38
25,31,34,42,43,46,05
24,25,29,33,35,38,49
07,13,33,40,45,46,39
02,10,17,27,33,49,15
09,15,19,22,35,41,37
09,15,27,28,30,41,13
04,15,20,22,28,29,01
01,02,22,27,35,40,33
15,17,30,35,37,45,41
08,20,33,35,42,43,10
05,14,15,20,27,29,35
05,19,26,44,46,48,36
25,26,37,38,44,48,31
09,28,34,41,42,49,06
01,11,18,27,36,46,26
09,11,20,21,45,46,42
04,07,20,23,28,45,35
01,12,35,36,41,44,21
03,16,22,33,40,41,39
17,23,30,31,34,49,36
04,07,17,22,44,45,32
01,02,29,31,33,43,40
14,15,16,35,46,48,02
04,10,31,38,40,48,05
11,23,30,35,40,44,07
10,16,30,33,37,42,43
02,08,13,14,37,39,38
10,23,29,30,44,47,07
14,15,16,24,44,47,21
02,08,21,32,33,37,15
05,15,25,27,33,34,43
01,10,13,33,37,38,40
10,11,15,20,31,49,44
02,03,17,28,38,49,21
03,06,11,17,22,49,44
02,07,08,22,28,32,20
07,08,25,33,41,43,06
06,18,24,25,26,34,19
01,21,24,25,34,44,19
01,03,22,28,37,42,10
03,21,26,28,38,40,42
05,25,26,34,40,49,47
27,30,32,41,44,46,42
12,28,38,42,44,49,02
19,29,33,36,39,49,06
11,19,25,34,36,42,08
01,29,35,36,44,46,06
08,23,28,38,41,42,30
10,25,26,29,31,40,02
06,07,35,37,38,47,12
18,22,41,42,47,49,45
12,14,32,35,40,43,17
04,13,14,37,39,46,31
14,19,21,25,27,38,22
04,12,17,28,34,40,07
01,05,16,18,31,41,13
01,09,17,31,33,48,49
01,05,07,31,35,49,42
01,19,20,25,30,32,02
03,08,09,12,14,22,46
10,19,26,29,43,45,20
04,11,16,28,33,46,17
04,09,11,32,43,47,44
02,11,25,29,30,33,20
06,18,19,23,32,49,21
07,11,12,15,24,26,06
10,11,21,23,28,37,24
06,16,21,23,46,49,39
08,10,15,32,39,48,43
12,16,35,38,41,47,01
06,14,15,19,30,43,31
02,16,20,37,43,48,10
06,12,22,31,41,44,02
11,12,21,35,41,48,01
15,17,20,32,33,39,21
04,17,25,36,40,44,08
08,16,27,32,43,44,07
24,36,39,41,45,49,22
21,22,32,37,42,44,38
